,date,loser,p1,p2,return_points_played_loser,return_points_played_winner,return_points_won_loser,return_points_won_winner,round,rpw_loser,rpw_winner,score,serve_points_played_loser,serve_points_played_winner,serve_points_won_loser,serve_points_won_winner,spw_loser,spw_winner,surface,tournament_name,ues_loser,ues_winner,winner,winners_loser,winners_winner
0,2017-01-01 16:40:00,Ymer E.,Thompson J.,Ymer E.,46.0,74.0,14.0,38.0,last_32,0.30434782608695654,0.5135135135135135,6-3 6-2,74.0,46.0,36.0,32.0,0.4864864864864865,0.6956521739130435,hard,Brisbane,,,Thompson J.,,
1,2017-01-01 22:30:00,Basilashvili N.,Pospisil V.,Basilashvili N.,,,,,qualifying,,,6-2 6-1,,,,,,,hard,Doha,,,Pospisil V.,,
2,2017-01-01 22:30:00,Basic M.,Giannessi A.,Basic M.,,,,,qualifying,,,6-4 6-2,,,,,,,hard,Doha,,,Giannessi A.,,
3,2017-01-01 22:30:00,Millot V.,Safwat M.,Millot V.,,,,,qualifying,,,6-3 0-6 6-2,,,,,,,hard,Doha,,,Safwat M.,,
4,2017-01-01 22:30:00,Lopez-Perez E.,Stepanek R.,Lopez-Perez E.,,,,,qualifying,,,6-1 6-4,,,,,,,hard,Doha,,,Stepanek R.,,
5,2017-01-02 11:00:00,Robert S.,Mahut N.,Robert S.,86.0,94.0,27.0,35.0,last_32,0.313953488372093,0.3723404255319149,4-6 6-3 6-4,94.0,86.0,59.0,59.0,0.6276595744680851,0.686046511627907,hard,Brisbane,,,Mahut N.,,
6,2017-01-02 12:45:00,Tomic B.,Ferrer D.,Tomic B.,30.0,45.0,10.0,23.0,last_32,0.3333333333333333,0.5111111111111111,6-3 7-5,45.0,30.0,22.0,20.0,0.4888888888888889,0.6666666666666666,hard,Brisbane,,,Ferrer D.,,
7,2017-01-02 15:05:00,Escobedo E.,Edmund K.,Escobedo E.,83.0,113.0,27.0,47.0,last_32,0.3253012048192771,0.415929203539823,7-6(4) 7-6(6),113.0,83.0,66.0,56.0,0.584070796460177,0.6746987951807228,hard,Brisbane,,,Edmund K.,,
8,2017-01-02 18:55:00,Nishioka Y.,Troicki V.,Nishioka Y.,64.0,82.0,23.0,36.0,last_32,0.359375,0.43902439024390244,6-4 7-5,82.0,64.0,46.0,41.0,0.5609756097560976,0.640625,hard,Brisbane,,,Troicki V.,,
9,2017-01-02 20:50:00,Johnson S.,Dimitrov G.,Johnson S.,48.0,57.0,13.0,29.0,last_32,0.2708333333333333,0.5087719298245614,6-2 6-3,57.0,48.0,28.0,35.0,0.49122807017543857,0.7291666666666666,hard,Brisbane,,,Dimitrov G.,,
